Layer_5, torch.Size([140, 8]), 151.5, 115, 107.5
Layer_6, torch.Size([140, 8]), 142.5, 109, 100.0
Layer_7, torch.Size([140, 8]), 139.0, 109, 99.0
Layer_8, torch.Size([140, 8]), 147.0, 114, 103.5
Layer_9, torch.Size([140, 8]), 132.0, 110, 94.5
Layer_10, torch.Size([140, 8]), 145.0, 111, 101.5
Layer_11, torch.Size([140, 8]), 150.0, 116, 106.5
Layer_12, torch.Size([140, 8]), 146.5, 113, 104.0
Layer_13, torch.Size([140, 8]), 147.0, 109, 102.0
Layer_14, torch.Size([140, 8]), 140.0, 108, 98.5
Layer_15, torch.Size([140, 8]), 135.0, 108, 95.5
Layer_16, torch.Size([140, 8]), 127.0, 102, 90.5
Layer_17, torch.Size([140, 8]), 141.5, 109, 99.5
Layer_18, torch.Size([140, 8]), 114.5, 99, 83.0
Layer_19, torch.Size([140, 8]), 124.5, 101, 89.0
Layer_20, torch.Size([140, 8]), 133.5, 108, 95.5
Layer_21, torch.Size([140, 8]), 133.5, 108, 96.0
Layer_22, torch.Size([140, 8]), 143.5, 119, 103.5
Layer_23, torch.Size([140, 8]), 141.5, 112, 100.0
Layer_24, torch.Size([140, 8]), 138.5, 110, 98.5
Layer_25, torch.Size([140, 8]), 137.0, 107, 97.0
Layer_26, torch.Size([140, 8]), 145.5, 113, 103.0
Layer_27, torch.Size([140, 8]), 137.0, 107, 96.5
Layer_28, torch.Size([140, 8]), 137.0, 116, 99.0
Layer_29, torch.Size([140, 8]), 145.5, 111, 101.5
Layer_30, torch.Size([140, 8]), 135.5, 109, 96.5
Layer_31, torch.Size([140, 8]), 130.5, 107, 93.0
Layer_32, torch.Size([140, 8]), 149.5, 118, 107.0
Layer_33, torch.Size([140, 8]), 151.5, 118, 106.5
Layer_34, torch.Size([140, 8]), 153.5, 116, 107.0
Layer_35, torch.Size([140, 8]), 150.5, 120, 106.0
Layer_36, torch.Size([140, 8]), 154.0, 116, 107.5
Layer_37, torch.Size([140, 8]), 150.5, 113, 105.5
Layer_38, torch.Size([140, 8]), 144.5, 110, 101.5
Layer_39, torch.Size([140, 8]), 153.5, 117, 108.0
Layer_40, torch.Size([140, 8]), 149.0, 114, 106.0
Layer_41, torch.Size([140, 8]), 149.0, 113, 103.5
Layer_42, torch.Size([140, 8]), 147.0, 113, 103.5
Layer_43, torch.Size([140, 8]), 149.0, 114, 104.5
Layer_44, torch.Size([140, 8]), 152.0, 117, 107.5
Layer_45, torch.Size([140, 8]), 159.0, 116, 109.0
Layer_46, torch.Size([140, 8]), 151.0, 110, 104.5
Layer_47, torch.Size([140, 8]), 150.0, 112, 106.5
Layer_0, torch.Size([152, 8]), 169.5, 125, 117.0
Layer_1, torch.Size([152, 8]), 164.0, 124, 114.5
Layer_2, torch.Size([152, 8]), 163.5, 121, 114.0
Layer_3, torch.Size([152, 8]), 156.0, 117, 108.5
Layer_4, torch.Size([152, 8]), 150.0, 119, 106.5
Layer_5, torch.Size([152, 8]), 157.0, 118, 110.5
Layer_6, torch.Size([152, 8]), 141.5, 112, 100.5
Layer_7, torch.Size([152, 8]), 122.5, 105, 89.5
Layer_8, torch.Size([152, 8]), 143.0, 116, 102.0
Layer_9, torch.Size([152, 8]), 155.5, 115, 108.0
Layer_10, torch.Size([152, 8]), 149.5, 113, 104.0
Layer_11, torch.Size([152, 8]), 162.0, 120, 112.5
Layer_12, torch.Size([152, 8]), 151.5, 113, 106.0
Layer_13, torch.Size([152, 8]), 154.5, 115, 108.0
Layer_14, torch.Size([152, 8]), 156.5, 119, 109.0
Layer_15, torch.Size([152, 8]), 146.5, 115, 103.5
Layer_16, torch.Size([152, 8]), 137.5, 108, 97.0
Layer_17, torch.Size([152, 8]), 146.5, 115, 104.5
Layer_18, torch.Size([152, 8]), 131.5, 107, 95.0
Layer_19, torch.Size([152, 8]), 121.5, 98, 86.5
Layer_20, torch.Size([152, 8]), 141.0, 113, 101.0
Layer_21, torch.Size([152, 8]), 152.5, 115, 107.5
Layer_22, torch.Size([152, 8]), 146.5, 115, 103.5
Layer_23, torch.Size([152, 8]), 157.0, 121, 110.0
Layer_24, torch.Size([152, 8]), 152.0, 120, 107.0
Layer_25, torch.Size([152, 8]), 148.0, 111, 102.5
Layer_26, torch.Size([152, 8]), 160.5, 117, 111.5
Layer_27, torch.Size([152, 8]), 157.5, 121, 112.0
Layer_28, torch.Size([152, 8]), 148.5, 112, 104.0
Layer_29, torch.Size([152, 8]), 159.0, 118, 111.5
Layer_30, torch.Size([152, 8]), 142.5, 112, 101.5
Layer_31, torch.Size([152, 8]), 126.5, 100, 90.0
Layer_32, torch.Size([152, 8]), 158.0, 123, 111.5
Layer_33, torch.Size([152, 8]), 158.0, 117, 109.0
Layer_34, torch.Size([152, 8]), 152.0, 116, 105.5
Layer_35, torch.Size([152, 8]), 161.5, 123, 113.0
Layer_36, torch.Size([152, 8]), 154.5, 114, 106.5
Layer_37, torch.Size([152, 8]), 159.5, 118, 110.0
Layer_38, torch.Size([152, 8]), 161.5, 117, 111.0
Layer_39, torch.Size([152, 8]), 161.5, 118, 112.0
Layer_40, torch.Size([152, 8]), 159.5, 118, 111.0
Layer_41, torch.Size([152, 8]), 158.0, 118, 109.5
Layer_42, torch.Size([152, 8]), 154.5, 113, 107.0
Layer_43, torch.Size([152, 8]), 151.0, 111, 104.5
Layer_44, torch.Size([152, 8]), 151.5, 112, 104.5
