Layer 13: Entropy=3.7642, Top-4 Coverage=0.2251, Self-Transition=0.4279
Layer 14: Entropy=4.0078, Top-4 Coverage=0.1927, Self-Transition=0.3786
Layer 15: Entropy=3.8846, Top-4 Coverage=0.2034, Self-Transition=0.3412
Layer 16: Entropy=3.8627, Top-4 Coverage=0.1926, Self-Transition=0.3531
Layer 17: Entropy=3.8233, Top-4 Coverage=0.2006, Self-Transition=0.3540
Layer 18: Entropy=3.6397, Top-4 Coverage=0.2414, Self-Transition=0.3777
Layer 19: Entropy=3.7503, Top-4 Coverage=0.2218, Self-Transition=0.3942
Layer 20: Entropy=3.7620, Top-4 Coverage=0.2006, Self-Transition=0.3157
Layer 21: Entropy=3.8063, Top-4 Coverage=0.2089, Self-Transition=0.3942
Layer 22: Entropy=4.0354, Top-4 Coverage=0.1777, Self-Transition=0.3504
Layer 23: Entropy=4.0873, Top-4 Coverage=0.1789, Self-Transition=0.3349
Layer 24: Entropy=4.0512, Top-4 Coverage=0.1813, Self-Transition=0.3285
Layer 25: Entropy=3.9810, Top-4 Coverage=0.1963, Self-Transition=0.3613
Layer 26: Entropy=3.9801, Top-4 Coverage=0.1811, Self-Transition=0.3422
Layer 27: Entropy=4.0024, Top-4 Coverage=0.1858, Self-Transition=0.2883
Layer 28: Entropy=3.9864, Top-4 Coverage=0.1837, Self-Transition=0.3166
Layer 29: Entropy=3.9274, Top-4 Coverage=0.1864, Self-Transition=0.2965
Layer 30: Entropy=3.8084, Top-4 Coverage=0.1934, Self-Transition=0.2874
Layer 31: Entropy=3.9972, Top-4 Coverage=0.1787, Self-Transition=0.2692
Layer 32: Entropy=3.9575, Top-4 Coverage=0.1743, Self-Transition=0.2701
Layer 33: Entropy=4.0076, Top-4 Coverage=0.1533, Self-Transition=0.2655
Layer 34: Entropy=4.1040, Top-4 Coverage=0.1609, Self-Transition=0.2527
Layer 35: Entropy=4.0778, Top-4 Coverage=0.1725, Self-Transition=0.2655
Layer 36: Entropy=4.1630, Top-4 Coverage=0.1494, Self-Transition=0.2400
Layer 37: Entropy=3.9941, Top-4 Coverage=0.1627, Self-Transition=0.2728
Layer 38: Entropy=4.0366, Top-4 Coverage=0.1593, Self-Transition=0.2692
Layer 39: Entropy=4.0941, Top-4 Coverage=0.1640, Self-Transition=0.2454
Layer 40: Entropy=3.9585, Top-4 Coverage=0.1730, Self-Transition=0.2765
Layer 41: Entropy=3.8693, Top-4 Coverage=0.1522, Self-Transition=0.2290
Layer 42: Entropy=3.7430, Top-4 Coverage=0.1601, Self-Transition=0.3184
Layer 43: Entropy=3.7938, Top-4 Coverage=0.1616, Self-Transition=0.2737
Layer 44: Entropy=3.6782, Top-4 Coverage=0.1732, Self-Transition=0.2646
Layer 45: Entropy=3.7883, Top-4 Coverage=0.1669, Self-Transition=0.2619
Layer 46: Entropy=3.6531, Top-4 Coverage=0.1428, Self-Transition=0.2664
Layer 47: Entropy=3.5520, Top-4 Coverage=0.1661, Self-Transition=0.2628
Layer 0: Entropy=3.7517, Top-4 Coverage=0.2165, Self-Transition=0.2840
Layer 1: Entropy=3.9160, Top-4 Coverage=0.2055, Self-Transition=0.3272
Layer 2: Entropy=3.8314, Top-4 Coverage=0.1975, Self-Transition=0.3281
Layer 3: Entropy=3.7044, Top-4 Coverage=0.2219, Self-Transition=0.3585
Layer 4: Entropy=3.5808, Top-4 Coverage=0.2323, Self-Transition=0.3833
Layer 5: Entropy=3.5446, Top-4 Coverage=0.2620, Self-Transition=0.4017
Layer 6: Entropy=3.5407, Top-4 Coverage=0.2280, Self-Transition=0.4485
Layer 7: Entropy=3.5678, Top-4 Coverage=0.2287, Self-Transition=0.4329
Layer 8: Entropy=3.6743, Top-4 Coverage=0.2298, Self-Transition=0.4118
Layer 9: Entropy=3.6432, Top-4 Coverage=0.2448, Self-Transition=0.4154
Layer 10: Entropy=3.8295, Top-4 Coverage=0.2214, Self-Transition=0.4017
Layer 11: Entropy=3.8545, Top-4 Coverage=0.2214, Self-Transition=0.3943
Layer 12: Entropy=3.9022, Top-4 Coverage=0.2072, Self-Transition=0.3787
Layer 13: Entropy=3.7625, Top-4 Coverage=0.2277, Self-Transition=0.4182
Layer 14: Entropy=4.0038, Top-4 Coverage=0.1938, Self-Transition=0.3787
Layer 15: Entropy=3.8877, Top-4 Coverage=0.2048, Self-Transition=0.3364
Layer 16: Entropy=3.8602, Top-4 Coverage=0.1961, Self-Transition=0.3575
Layer 17: Entropy=3.8239, Top-4 Coverage=0.2035, Self-Transition=0.3456
Layer 18: Entropy=3.6428, Top-4 Coverage=0.2416, Self-Transition=0.3658
Layer 19: Entropy=3.7513, Top-4 Coverage=0.2241, Self-Transition=0.3778
Layer 20: Entropy=3.7930, Top-4 Coverage=0.2024, Self-Transition=0.3217
